CHUNK_INDEX | TEXT_EN | TEXT_VI | ZALO_AUDIO_URL | GLOBAL_START_END
0 | White's most popular way to open the game is by directly occupying the center with | Cách phổ biến nhất của Trắng để mở ván đấu là trực tiếp chiếm trung tâm bằng | https://s9-zstorage.zdn.vn/052b326993367a682327/a8fc6fecb56e4820aa19ac84cdf2c189.mp3?authen=exp=1782994558~hmac=9bb68c158c1e8fdaf9564d55fc633337 | 0.0-4.62
0 | either E4 or D4 on the first move. | E4 hoặc D4 ở nước đi đầu tiên. | https://s9-zstorage.zdn.vn/995baf190e46e718be57/cf3e82d2218f4c0f990a5f416adc585d.mp3?authen=exp=1782994559~hmac=ac9723f4d72513968e2fe395414f140e | 4.62-8.22
0 | If White wants to explore other options, the English is one of the most trusted, solid | Nếu Trắng muốn khám phá các lựa chọn khác thì tiếng Anh là một trong những lựa chọn đáng tin cậy và vững chắc nhất. | https://s9-zstorage.zdn.vn/d614ef564e09a757fe18/cd7c00f84d0949ca82a4c32d0931a163.mp3?authen=exp=1782994560~hmac=0463e289158a929d6aa0d93c559a52ed | 8.22-12.700000000000001
0 | alternatives. | các lựa chọn thay thế. | https://s9-zstorage.zdn.vn/07673f259e7a77242e6b/806cb901485f4ef2af7500204170b30b.mp3?authen=exp=1782994561~hmac=885bac357baa23f93b6e2b712042a8bb | 12.700000000000001-13.780000000000001
0 | We reach the strategically complex opening by starting the game with C4. | Chúng ta đạt đến phần mở đầu phức tạp về mặt chiến lược bằng cách bắt đầu trận đấu với C4. | https://s9-zstorage.zdn.vn/94ceaf8c0ed3e78dbec2/ed9f02c412dd43d99182c69ce1974392.mp3?authen=exp=1782994561~hmac=02fc2017cf8b7ca592c33f99cb5d0387 | 13.780000000000001-18.54
0 | Turning the game into the English opening, White controls the D5 square and typically | Chuyển thế trận sang khai cuộc kiểu Anh, Trắng kiểm soát ô D5 và thường | https://s9-zstorage.zdn.vn/9527af650e3ae764be2b/6ed74daccc64499bac42874bea73a3a3.mp3?authen=exp=1782994562~hmac=112bdb764590bbeefc648732f51d0400 | 18.54-22.98
0 | prepares a light-squared strategy with Knight C3, G3, and Bishop G2, increasing control | chuẩn bị chiến lược bình phương nhẹ với Hiệp sĩ C3, G3 và Bishop G2, tăng khả năng kiểm soát | https://s9-zstorage.zdn.vn/1f9a22d883876ad93396/f2f2624aa8eb4645a187c5fd7e1cfc67.mp3?authen=exp=1782994563~hmac=3f00f602a4335c4cff2e7586cd7e355c | 22.98-29.3
0 | over the central D5 in E4 squares. | qua trung tâm D5 trong ô vuông E4. | https://s9-zstorage.zdn.vn/507a6c38cd6724397d76/38cc6ca1825f4d388d3e38474d530b81.mp3?authen=exp=1782994563~hmac=3cd1491151df3a26c074696e164ca48f | 29.3-33.14
0 | The English should not be viewed as a simple sideline, it's a rich opening with a wealth | Tiếng Anh không nên được xem như một thứ bên lề đơn giản, nó là sự mở đầu phong phú với vô số | https://s9-zstorage.zdn.vn/0649390b9854710a2845/6fb8c7624df6453089165192b82d261a.mp3?authen=exp=1782994564~hmac=0456e820de893d1b04ba680fef9085de | 33.14-37.06
0 | of strategic as well as dynamic ideas to explore. | các ý tưởng chiến lược cũng như năng động để khám phá. | https://s9-zstorage.zdn.vn/d299f5db5484bddae495/4d3f79da2f104a98be9ce45d3636e638.mp3?authen=exp=1782994565~hmac=dbb5fbd258cf65ad330d76c27c522c61 | 37.06-40.86
